episode,total_reward,wait_time,epsilon,alpha,gamma
596,-32,18,0.2,0.1,0.9
597,20,20,0.2,0.1,0.9
598,51,25,0.2,0.1,0.9
599,-95,56,0.2,0.1,0.9
600,2,20,0.2,0.1,0.9
601,-15,31,0.2,0.1,0.9
602,23,15,0.2,0.1,0.9
603,14,8,0.2,0.1,0.9
604,16,22,0.2,0.1,0.9
605,24,8,0.2,0.1,0.9
606,-111,87,0.2,0.1,0.9
607,-52,38,0.2,0.1,0.9
608,10,28,0.2,0.1,0.9
609,30,4,0.2,0.1,0.9
610,14,6,0.2,0.1,0.9
611,-232,136,0.2,0.1,0.9
612,20,10,0.2,0.1,0.9
613,24,15,0.2,0.1,0.9
614,-6,22,0.2,0.1,0.9
615,33,2,0.2,0.1,0.9
616,27,22,0.2,0.1,0.9
617,-175,90,0.2,0.1,0.9
618,21,20,0.2,0.1,0.9
619,46,6,0.2,0.1,0.9
620,33,2,0.2,0.1,0.9
621,-53,50,0.2,0.1,0.9
622,9,20,0.2,0.1,0.9
623,31,3,0.2,0.1,0.9
624,44,7,0.2,0.1,0.9
625,0,24,0.2,0.1,0.9
626,30,4,0.2,0.1,0.9
627,31,3,0.2,0.1,0.9
628,19,8,0.2,0.1,0.9
629,10,23,0.2,0.1,0.9
630,45,22,0.2,0.1,0.9
631,14,7,0.2,0.1,0.9
632,2,22,0.2,0.1,0.9
633,40,10,0.2,0.1,0.9
634,-124,83,0.2,0.1,0.9
635,21,27,0.2,0.1,0.9
636,34,16,0.2,0.1,0.9
637,-2,18,0.2,0.1,0.9
638,24,16,0.2,0.1,0.9
639,21,18,0.2,0.1,0.9
640,28,12,0.2,0.1,0.9
641,29,10,0.2,0.1,0.9
642,24,21,0.2,0.1,0.9
643,36,14,0.2,0.1,0.9
644,42,14,0.2,0.1,0.9
645,30,4,0.2,0.1,0.9
646,-22,29,0.2,0.1,0.9
647,57,12,0.2,0.1,0.9
648,19,13,0.2,0.1,0.9
649,42,16,0.2,0.1,0.9
650,21,22,0.2,0.1,0.9
651,12,8,0.2,0.1,0.9
652,40,11,0.2,0.1,0.9
653,38,10,0.2,0.1,0.9
654,25,7,0.2,0.1,0.9
655,13,12,0.2,0.1,0.9
656,44,13,0.2,0.1,0.9
657,33,23,0.2,0.1,0.9
658,-3,18,0.2,0.1,0.9
659,31,18,0.2,0.1,0.9
660,24,7,0.2,0.1,0.9
661,9,20,0.2,0.1,0.9
662,9,12,0.2,0.1,0.9
663,31,24,0.2,0.1,0.9
664,30,4,0.2,0.1,0.9
665,-34,30,0.2,0.1,0.9
666,-2,14,0.2,0.1,0.9
667,44,7,0.2,0.1,0.9
668,-46,18,0.2,0.1,0.9
669,46,6,0.2,0.1,0.9
670,-22,32,0.2,0.1,0.9
671,-7,30,0.2,0.1,0.9
672,13,9,0.2,0.1,0.9
673,22,3,0.2,0.1,0.9
674,10,15,0.2,0.1,0.9
675,-7,19,0.2,0.1,0.9
676,30,4,0.2,0.1,0.9
677,45,20,0.2,0.1,0.9
678,-87,55,0.2,0.1,0.9
679,35,13,0.2,0.1,0.9
680,29,10,0.2,0.1,0.9
681,40,10,0.2,0.1,0.9
682,40,19,0.2,0.1,0.9
683,33,2,0.2,0.1,0.9
684,0,12,0.2,0.1,0.9
685,29,4,0.2,0.1,0.9
686,-194,114,0.2,0.1,0.9
687,8,8,0.2,0.1,0.9
688,9,2,0.2,0.1,0.9
689,22,16,0.2,0.1,0.9
690,18,0,0.2,0.1,0.9
691,24,17,0.2,0.1,0.9
692,-7,16,0.2,0.1,0.9
693,34,17,0.2,0.1,0.9
694,0,30,0.2,0.1,0.9
695,18,4,0.2,0.1,0.9
696,25,13,0.2,0.1,0.9
697,25,32,0.2,0.1,0.9
698,18,24,0.2,0.1,0.9
699,22,18,0.2,0.1,0.9
700,1,18,0.2,0.1,0.9
701,12,4,0.2,0.1,0.9
702,9,6,0.2,0.1,0.9
703,24,9,0.2,0.1,0.9
704,25,18,0.2,0.1,0.9
705,42,8,0.2,0.1,0.9
706,25,8,0.2,0.1,0.9
707,12,16,0.2,0.1,0.9
708,6,10,0.2,0.1,0.9
709,42,8,0.2,0.1,0.9
710,25,8,0.2,0.1,0.9
711,16,9,0.2,0.1,0.9
712,-101,79,0.2,0.1,0.9
713,23,15,0.2,0.1,0.9
714,25,7,0.2,0.1,0.9
715,3,4,0.2,0.1,0.9
716,5,26,0.2,0.1,0.9
717,-73,42,0.2,0.1,0.9
718,5,7,0.2,0.1,0.9
719,33,16,0.2,0.1,0.9
720,35,15,0.2,0.1,0.9
721,-23,33,0.2,0.1,0.9
722,9,18,0.2,0.1,0.9
723,18,5,0.2,0.1,0.9
724,16,24,0.2,0.1,0.9
725,29,15,0.2,0.1,0.9
726,34,14,0.2,0.1,0.9
727,25,3,0.2,0.1,0.9
728,29,4,0.2,0.1,0.9
729,43,8,0.2,0.1,0.9
730,26,8,0.2,0.1,0.9
731,-14,12,0.2,0.1,0.9
732,24,19,0.2,0.1,0.9
733,-9,30,0.2,0.1,0.9
734,31,9,0.2,0.1,0.9
735,30,10,0.2,0.1,0.9
736,33,2,0.2,0.1,0.9
737,16,38,0.2,0.1,0.9
738,29,4,0.2,0.1,0.9
739,-24,15,0.2,0.1,0.9
740,-287,138,0.2,0.1,0.9
741,34,16,0.2,0.1,0.9
742,27,13,0.2,0.1,0.9
743,42,8,0.2,0.1,0.9
744,23,9,0.2,0.1,0.9
745,34,24,0.2,0.1,0.9
746,42,8,0.2,0.1,0.9
747,38,12,0.2,0.1,0.9
748,27,5,0.2,0.1,0.9
749,31,4,0.2,0.1,0.9
750,24,14,0.2,0.1,0.9
751,2,18,0.2,0.1,0.9
752,13,28,0.2,0.1,0.9
753,51,15,0.2,0.1,0.9
